time_s,radius_cm,temperature_c,moisture_kg_per_kg
100,0.00000000,28.00005331,2.55000000
100,0.50000000,28.00034740,2.55000000
100,1.00000000,28.00404564,2.55000000
100,1.50000000,28.03270276,2.54999996
100,2.00000000,28.18007117,2.24704691
300,0.00000000,28.04079135,2.55000000
300,0.50000000,28.06348810,2.55000000
300,1.00000000,28.15139585,2.55000000
300,1.50000000,28.36807046,2.54919983
300,2.00000000,28.84884650,2.05083741
600,0.00000000,28.45332973,2.55000000
600,0.50000000,28.53603064,2.55000000
600,1.00000000,28.80394436,2.54998862
600,1.50000000,29.31591627,2.53527635
600,2.00000000,30.16522969,1.87696233
900,0.00000000,29.32429429,2.55000000
900,0.50000000,29.45825075,2.54999980
900,1.00000000,29.87545460,2.54968392
900,1.50000000,30.61614257,2.50454373
900,2.00000000,31.73041292,1.75471300
1200,0.00000000,30.54271939,2.54999998
1200,0.50000000,30.70976918,2.54999299
1200,1.00000000,31.22234942,2.54818054
1200,1.50000000,32.11255967,2.46456892
1200,2.00000000,33.42763482,1.65855723
1500,0.00000000,31.99572004,2.54999931
1500,0.50000000,32.18673374,2.54993784
1500,1.00000000,32.76602030,2.54454175
1500,1.50000000,33.74627618,2.42061030
1500,2.00000000,35.12026991,1.57872302
1800,0.00000000,33.57534397,2.54999240
1800,0.50000000,33.77200104,2.54972393
1800,1.00000000,34.36416008,2.53830051
1800,1.50000000,35.36212374,2.37546991
1800,2.00000000,36.78555999,1.51023468
